nIteration:	Current:	Voltage:	Time:

1	-0.63351249695	4.1276388168	06/15/2017 01:18:09.442649600
2	-6.0337557793	3.6942629814	06/15/2017 01:18:10.621729360
3	-4.460811615	3.7682442665	06/15/2017 01:18:11.619585920
4	-3.8801045418	3.817407608	06/15/2017 01:18:12.617471120
5	-4.1319622993	3.7971739769	06/15/2017 01:18:13.615291980
6	-0.31953191757	4.0895295143	06/15/2017 01:18:14.613133120
7	-2.2191376686	3.9732425213	06/15/2017 01:18:15.610973680
8	-6.0636005402	3.654964447	06/15/2017 01:18:16.608794700
9	-5.071387291	3.6954889297	06/15/2017 01:18:17.606631180
10	-5.1026163101	3.6933236122	06/15/2017 01:18:18.604433240
11	-0.32679316401	4.0626759529	06/15/2017 01:18:19.602265840
12	-2.5218441486	3.9311814308	06/15/2017 01:18:20.600063520
13	-2.8928818703	3.8842186928	06/15/2017 01:18:21.597879600
14	-1.7557029724	3.9683682919	06/15/2017 01:18:22.595721440
15	-5.2508845329	3.7028832436	06/15/2017 01:18:23.593558900
16	-1.9301930666	3.9308712482	06/15/2017 01:18:24.591388860
17	-4.4844264984	3.7552757263	06/15/2017 01:18:25.589226720
18	-0.64215427637	4.0331606865	06/15/2017 01:18:26.587030960
19	-1.405387044	4.0057411194	06/15/2017 01:18:27.584858100
20	-5.0703258514	3.713381052	06/15/2017 01:18:28.582679780
21	-5.0226197243	3.683057785	06/15/2017 01:18:29.580512320
22	-4.994656086	3.6796615124	06/15/2017 01:18:30.578370120
23	-2.082006216	3.9038250446	06/15/2017 01:18:31.576207560
24	-5.9563121796	3.6222469807	06/15/2017 01:18:32.574048660
25	-4.4366936684	3.7071990967	06/15/2017 01:18:33.571914620
26	-2.2637205124	3.8851282597	06/15/2017 01:18:34.569762580
27	-1.9680985212	3.9261360168	06/15/2017 01:18:35.567624020
28	-4.8702425957	3.7019290924	06/15/2017 01:18:36.565489760
29	-3.8136072159	3.7586209774	06/15/2017 01:18:37.563336300
30	-5.2158088684	3.6534943581	06/15/2017 01:18:38.561167300
31	-3.9954850674	3.7347753048	06/15/2017 01:18:39.558993720
32	-3.7766497135	3.7586731911	06/15/2017 01:18:40.556890000
33	-5.5949015617	3.6158518791	06/15/2017 01:18:41.568128700
34	-6.6651005745	3.5136494637	06/15/2017 01:18:42.568402200
35	-5.3241381645	3.6051754951	06/15/2017 01:18:43.568679840
36	-1.9020348787	3.8800323009	06/15/2017 01:18:44.568976180
37	-4.6942949295	3.689440012	06/15/2017 01:18:45.569272960
38	-3.0994367599	3.7915706635	06/15/2017 01:18:46.569572280
