nIteration:	Current:	Voltage:	Time:
85	1.1000750065	3.78272295	06/15/2017 05:00:31.105248440
86	1.1000708342	3.7829091549	06/15/2017 05:00:32.104602320
87	1.1000715494	3.7830858231	06/15/2017 05:00:33.103960140
88	1.1000729799	3.7832758427	06/15/2017 05:00:34.103303560
89	1.1000711918	3.7834460735	06/15/2017 05:00:35.102668660
90	1.1000704765	3.7836191654	06/15/2017 05:00:36.102031200
91	1.1000759602	3.783803463	06/15/2017 05:00:37.101377440
92	1.1000677347	3.7839710712	06/15/2017 05:00:38.100729600
93	1.1000733376	3.784157753	06/15/2017 05:00:39.100051800
94	1.1000730991	3.7843234539	06/15/2017 05:00:40.099416480
95	1.1000756025	3.7844920158	06/15/2017 05:00:41.098786760
96	1.100076437	3.7846608162	06/15/2017 05:00:42.098128460
97	1.1000756025	3.7848293781	06/15/2017 05:00:43.097509720
98	1.1000685692	3.7849979401	06/15/2017 05:00:44.096853340
99	1.1000652313	3.7851624489	06/15/2017 05:00:45.096304400
100	1.1000696421	3.7853295803	06/15/2017 05:00:46.095660060
101	1.1000703573	3.785487175	06/15/2017 05:00:47.095027100
102	1.1000754833	3.7856535912	06/15/2017 05:00:48.094394100
103	1.1000715494	3.7858119011	06/15/2017 05:00:49.093756780
104	1.1000685692	3.78596735	06/15/2017 05:00:50.093162800
105	1.100071311	3.7861325741	06/15/2017 05:00:51.092511800
106	1.1000672579	3.7862973213	06/15/2017 05:00:52.091895680
107	1.1000703573	3.7864460945	06/15/2017 05:00:53.091254700
108	1.1000769138	3.7866048813	06/15/2017 05:00:54.090626000
109	1.1000648737	3.7867593765	06/15/2017 05:00:55.089978180
110	1.1000765562	3.7869114876	06/15/2017 05:00:56.089352880
111	1.1000702381	3.7870702744	06/15/2017 05:00:57.088689180
112	1.100079298	3.7872240543	06/15/2017 05:00:58.088059260
113	1.1000728607	3.7873754501	06/15/2017 05:00:59.087416200
114	1.1000722647	3.7875270844	06/15/2017 05:01:00.086862420
115	1.1000788212	3.7876772881	06/15/2017 05:01:01.086202980
116	1.1000744104	3.7878234386	06/15/2017 05:01:02.085563080
117	1.1000746489	3.7879760265	06/15/2017 05:01:03.084901100
118	1.1000714302	3.7881162167	06/15/2017 05:01:04.084260120
119	1.1000750065	3.7882721424	06/15/2017 05:01:05.083618240
120	1.100079298	3.7884173393	06/15/2017 05:01:06.082965440
121	1.100071311	3.78855896	06/15/2017 05:01:07.082285340
122	1.100069046	3.7887046337	06/15/2017 05:01:08.081637220
