Iteration: 	17768	 current: 	-0.0092170443386	 voltage: 	3.633562088	 time: 	06/15/2017 02:10:10.116592280
Iteration: 	17769	 current: 	1.085537076	 voltage: 	3.7200467587	 time: 	06/15/2017 02:10:11.172103300	 deltatime: 	0	 cap [mAh]	0	 cap total [mAh]	0
Iteration: 	17770	 current: 	1.1000738144	 voltage: 	3.7294275761	 time: 	06/15/2017 02:10:12.228275300	 deltatime: 	1.05626338	 cap [mAh]	0.32276880151	 cap total [mAh]	0.32276880151
Iteration: 	17771	 current: 	1.1000739336	 voltage: 	3.7308924198	 time: 	06/15/2017 02:10:13.225203800	 deltatime: 	0.99691248	 cap [mAh]	0.30463262037	 cap total [mAh]	0.62740142188
Iteration: 	17772	 current: 	1.1000725031	 voltage: 	3.7321128845	 time: 	06/15/2017 02:10:14.222094900	 deltatime: 	0.99692968	 cap [mAh]	0.30463748013	 cap total [mAh]	0.93203890201
Iteration: 	17773	 current: 	1.1000686884	 voltage: 	3.7331840992	 time: 	06/15/2017 02:10:15.219050140	 deltatime: 	0.99692684	 cap [mAh]	0.30463555592	 cap total [mAh]	1.2366744579
Iteration: 	17774	 current: 	1.10006845	 voltage: 	3.7341678143	 time: 	06/15/2017 02:10:16.215951080	 deltatime: 	0.99690544	 cap [mAh]	0.3046289506	 cap total [mAh]	1.5413034085
Iteration: 	17775	 current: 	1.1000722647	 voltage: 	3.7350802422	 time: 	06/15/2017 02:10:17.212842980	 deltatime: 	0.99689644	 cap [mAh]	0.30462725678	 cap total [mAh]	1.8459306653
Iteration: 	17776	 current: 	1.1000710726	 voltage: 	3.7359335423	 time: 	06/15/2017 02:10:18.209766020	 deltatime: 	0.99691412	 cap [mAh]	0.30463232924	 cap total [mAh]	2.1505629945
Iteration: 	17777	 current: 	1.1000726223	 voltage: 	3.7367463112	 time: 	06/15/2017 02:10:19.206673020	 deltatime: 	0.9969012	 cap [mAh]	0.30462881035	 cap total [mAh]	2.4551918049
Iteration: 	17778	 current: 	1.1000669003	 voltage: 	3.7375092506	 time: 	06/15/2017 02:10:20.203524740	 deltatime: 	0.99688934	 cap [mAh]	0.30462360171	 cap total [mAh]	2.7598154066
Iteration: 	17779	 current: 	1.1000709534	 voltage: 	3.7382471561	 time: 	06/15/2017 02:10:21.200455840	 deltatime: 	0.99688796	 cap [mAh]	0.30462430238	 cap total [mAh]	3.064439709
Iteration: 	17780	 current: 	1.1000699997	 voltage: 	3.738948822	 time: 	06/15/2017 02:10:22.197327120	 deltatime: 	0.99690448	 cap [mAh]	0.30462908639	 cap total [mAh]	3.3690687954
Iteration: 	17781	 current: 	1.1000676155	 voltage: 	3.7396116257	 time: 	06/15/2017 02:10:23.194231820	 deltatime: 	0.99686862	 cap [mAh]	0.30461746827	 cap total [mAh]	3.6736862636
Iteration: 	17782	 current: 	1.1000676155	 voltage: 	3.7402667999	 time: 	06/15/2017 02:10:24.191113900	 deltatime: 	0.99691268	 cap [mAh]	0.30463093188	 cap total [mAh]	3.9783171955
Iteration: 	17783	 current: 	1.100069046	 voltage: 	3.7408893108	 time: 	06/15/2017 02:10:25.188044500	 deltatime: 	0.99690918	 cap [mAh]	0.3046302585	 cap total [mAh]	4.282947454
Iteration: 	17784	 current: 	1.1000651121	 voltage: 	3.7414879799	 time: 	06/15/2017 02:10:26.184928740	 deltatime: 	0.9968809	 cap [mAh]	0.30462052751	 cap total [mAh]	4.5875679815
Iteration: 	17785	 current: 	1.1000702381	 voltage: 	3.7420732975	 time: 	06/15/2017 02:10:27.181851400	 deltatime: 	0.99691474	 cap [mAh]	0.30463228761	 cap total [mAh]	4.8922002691
Iteration: 	17786	 current: 	1.100069046	 voltage: 	3.7426419258	 time: 	06/15/2017 02:10:28.178763860	 deltatime: 	0.99691604	 cap [mAh]	0.30463235475	 cap total [mAh]	5.1968326239
Iteration: 	17787	 current: 	1.1000660658	 voltage: 	3.7431986332	 time: 	06/15/2017 02:10:29.175696280	 deltatime: 	0.99689262	 cap [mAh]	0.30462437292	 cap total [mAh]	5.5014569968
Iteration: 	17788	 current: 	1.1000705957	 voltage: 	3.7437241077	 time: 	06/15/2017 02:10:30.172595360	 deltatime: 	0.99694538	 cap [mAh]	0.30464174947	 cap total [mAh]	5.8060987463
Iteration: 	17789	 current: 	1.1000676155	 voltage: 	3.7442483902	 time: 	06/15/2017 02:10:31.169514120	 deltatime: 	0.99692506	 cap [mAh]	0.30463471489	 cap total [mAh]	6.1107334612
Iteration: 	17790	 current: 	1.1000739336	 voltage: 	3.7447531223	 time: 	06/15/2017 02:10:32.166406080	 deltatime: 	0.99688756	 cap [mAh]	0.30462500541	 cap total [mAh]	6.4153584666
Iteration: 	17791	 current: 	1.1000688076	 voltage: 	3.7452447414	 time: 	06/15/2017 02:10:33.163301380	 deltatime: 	0.99690444	 cap [mAh]	0.30462874406	 cap total [mAh]	6.7199872106
Iteration: 	17792	 current: 	1.1000704765	 voltage: 	3.7457203865	 time: 	06/15/2017 02:10:34.160198000	 deltatime: 	0.99688998	 cap [mAh]	0.3046247876	 cap total [mAh]	7.0246119982
Iteration: 	17793	 current: 	1.1000677347	 voltage: 	3.7461845875	 time: 	06/15/2017 02:10:35.157107920	 deltatime: 	0.99690838	 cap [mAh]	0.30462965092	 cap total [mAh]	7.3292416491
Iteration: 	17794	 current: 	1.1000744104	 voltage: 	3.7466480732	 time: 	06/15/2017 02:10:36.153982360	 deltatime: 	0.9968896	 cap [mAh]	0.30462576083	 cap total [mAh]	7.63386741
Iteration: 	17795	 current: 	1.1000704765	 voltage: 	3.7470915318	 time: 	06/15/2017 02:10:37.150906780	 deltatime: 	0.99690726	 cap [mAh]	0.30463006794	 cap total [mAh]	7.9384974779
Iteration: 	17796	 current: 	1.1000695229	 voltage: 	3.7475321293	 time: 	06/15/2017 02:10:38.147795760	 deltatime: 	0.99690546	 cap [mAh]	0.30462925381	 cap total [mAh]	8.2431267317
Iteration: 	17797	 current: 	1.100075841	 voltage: 	3.7479567528	 time: 	06/15/2017 02:10:39.144700580	 deltatime: 	0.99688932	 cap [mAh]	0.3046260714	 cap total [mAh]	8.5477528031
Iteration: 	17798	 current: 	1.1000709534	 voltage: 	3.7483711243	 time: 	06/15/2017 02:10:40.141583280	 deltatime: 	0.99689346	 cap [mAh]	0.30462598304	 cap total [mAh]	8.8523787862
Iteration: 	17799	 current: 	1.1000670195	 voltage: 	3.7487783432	 time: 	06/15/2017 02:10:41.138473060	 deltatime: 	0.9968973	 cap [mAh]	0.30462606709	 cap total [mAh]	9.1570048533
Iteration: 	17800	 current: 	1.1000659466	 voltage: 	3.7491824627	 time: 	06/15/2017 02:10:42.137855360	 deltatime: 	0.9993771	 cap [mAh]	0.30538353208	 cap total [mAh]	9.4623883853
Iteration: 	17801	 current: 	1.1000672579	 voltage: 	3.7495677471	 time: 	06/15/2017 02:10:43.137222960	 deltatime: 	0.99936036	 cap [mAh]	0.30537878079	 cap total [mAh]	9.7677671661
Iteration: 	17802	 current: 	1.1000653505	 voltage: 	3.7499556541	 time: 	06/15/2017 02:10:44.136616800	 deltatime: 	0.9993852	 cap [mAh]	0.30538584177	 cap total [mAh]	10.073153008
Iteration: 	17803	 current: 	1.1000711918	 voltage: 	3.7503285408	 time: 	06/15/2017 02:10:45.136029320	 deltatime: 	0.99941594	 cap [mAh]	0.30539685672	 cap total [mAh]	10.378549865
Iteration: 	17804	 current: 	1.1000722647	 voltage: 	3.7506995201	 time: 	06/15/2017 02:10:46.135402640	 deltatime: 	0.99937758	 cap [mAh]	0.30538543269	 cap total [mAh]	10.683935297
Iteration: 	17805	 current: 	1.1000730991	 voltage: 	3.7510695457	 time: 	06/15/2017 02:10:47.134760400	 deltatime: 	0.99936476	 cap [mAh]	0.30538174686	 cap total [mAh]	10.989317044
Iteration: 	17806	 current: 	1.1000704765	 voltage: 	3.7514204979	 time: 	06/15/2017 02:10:48.134103080	 deltatime: 	0.99934668	 cap [mAh]	0.30537549402	 cap total [mAh]	11.294692538
Iteration: 	17807	 current: 	1.1000720263	 voltage: 	3.7517635822	 time: 	06/15/2017 02:10:49.133490420	 deltatime: 	0.99936558	 cap [mAh]	0.3053816996	 cap total [mAh]	11.600074238
Iteration: 	17808	 current: 	1.1000686884	 voltage: 	3.7521042824	 time: 	06/15/2017 02:10:50.132942120	 deltatime: 	0.99946108	 cap [mAh]	0.30540995538	 cap total [mAh]	11.905484193
Iteration: 	17809	 current: 	1.1000653505	 voltage: 	3.7524445057	 time: 	06/15/2017 02:10:51.132349220	 deltatime: 	0.99942078	 cap [mAh]	0.30539671408	 cap total [mAh]	12.210880907
Iteration: 	17810	 current: 	1.1000629663	 voltage: 	3.7527713776	 time: 	06/15/2017 02:10:52.131704400	 deltatime: 	0.99936052	 cap [mAh]	0.30537763836	 cap total [mAh]	12.516258546
Iteration: 	17811	 current: 	1.1000688076	 voltage: 	3.753102541	 time: 	06/15/2017 02:10:53.131065680	 deltatime: 	0.99933954	 cap [mAh]	0.30537284893	 cap total [mAh]	12.821631395
Iteration: 	17812	 current: 	1.1000609398	 voltage: 	3.7534151077	 time: 	06/15/2017 02:10:54.130416400	 deltatime: 	0.99936258	 cap [mAh]	0.30537770526	 cap total [mAh]	13.1270091
Iteration: 	17813	 current: 	1.1000664234	 voltage: 	3.7537353039	 time: 	06/15/2017 02:10:55.129776420	 deltatime: 	0.999355	 cap [mAh]	0.30537691127	 cap total [mAh]	13.432386011
Iteration: 	17814	 current: 	1.1000666618	 voltage: 	3.7540304661	 time: 	06/15/2017 02:10:56.129146600	 deltatime: 	0.999367	 cap [mAh]	0.30538064434	 cap total [mAh]	13.737766655
Iteration: 	17815	 current: 	1.1000698805	 voltage: 	3.7543520927	 time: 	06/15/2017 02:10:57.128475400	 deltatime: 	0.99933012	 cap [mAh]	0.30537026824	 cap total [mAh]	14.043136924
Iteration: 	17816	 current: 	1.1000677347	 voltage: 	3.7546417713	 time: 	06/15/2017 02:10:58.127808640	 deltatime: 	0.99935418	 cap [mAh]	0.30537702471	 cap total [mAh]	14.348513948
Iteration: 	17817	 current: 	1.1000686884	 voltage: 	3.7549285889	 time: 	06/15/2017 02:10:59.127164520	 deltatime: 	0.99933678	 cap [mAh]	0.30537197245	 cap total [mAh]	14.653885921
