Iteration:	Current:	Voltage:	Time:
85	1.1000658274	3.7722313404	06/14/2017 23:23:04.836946900
86	1.1000686884	3.7724189758	06/14/2017 23:23:05.836298360
87	1.1000692844	3.7726049423	06/14/2017 23:23:06.835596300
88	1.1000670195	3.7727763653	06/14/2017 23:23:07.834922960
89	1.1000674963	3.7729530334	06/14/2017 23:23:08.834262600
90	1.1000674963	3.7731342316	06/14/2017 23:23:09.833579700
91	1.1000680923	3.7733030319	06/14/2017 23:23:10.832976480
92	1.1000715494	3.7734801769	06/14/2017 23:23:11.832277100
93	1.1000628471	3.7736451626	06/14/2017 23:23:12.831928960
94	1.100071311	3.7738192081	06/14/2017 23:23:13.831229340
95	1.1000709534	3.7739856243	06/14/2017 23:23:14.830551940
96	1.1000652313	3.7741503716	06/14/2017 23:23:15.829892020
97	1.1000715494	3.7743182182	06/14/2017 23:23:16.829210960
98	1.1000704765	3.774479866	06/14/2017 23:23:17.828562060
99	1.1000716686	3.7746481895	06/14/2017 23:23:18.827877940
100	1.1000648737	3.7748038769	06/14/2017 23:23:19.827196060
101	1.100069046	3.7749686241	06/14/2017 23:23:20.826488480
102	1.1000703573	3.7751224041	06/14/2017 23:23:21.825794000
103	1.1000738144	3.7752897739	06/14/2017 23:23:22.825075700
104	1.1000673771	3.7754426003	06/14/2017 23:23:23.824384640
105	1.1000666618	3.7755968571	06/14/2017 23:23:24.823726880
106	1.1000716686	3.7757511139	06/14/2017 23:23:25.823043680
107	1.1000648737	3.7759013176	06/14/2017 23:23:26.822387380
108	1.1000643969	3.7760577202	06/14/2017 23:23:27.821692840
109	1.1000680923	3.7762043476	06/14/2017 23:23:28.821008320
110	1.1000671387	3.7763669491	06/14/2017 23:23:29.820350740
111	1.1000688076	3.7765088081	06/14/2017 23:23:30.819664340
112	1.1000703573	3.776664257	06/14/2017 23:23:31.818966720
113	1.100066781	3.7768092155	06/14/2017 23:23:32.818304720
114	1.1000683308	3.7769577503	06/14/2017 23:23:33.817641820
115	1.1000673771	3.7771070004	06/14/2017 23:23:34.816988980
116	1.1000677347	3.7772552967	06/14/2017 23:23:35.816309700
117	1.1000664234	3.7773928642	06/14/2017 23:23:36.815640300
118	1.1000635624	3.7775406837	06/14/2017 23:23:37.814955560
119	1.1000742912	3.7776901722	06/14/2017 23:23:38.814331940
120	1.1000635624	3.7778301239	06/14/2017 23:23:39.813685400
121	1.1000676155	3.7779648304	06/14/2017 23:23:40.813082660
122	1.1000721455	3.7781114578	06/14/2017 23:23:41.812418760
123	1.1000732183	3.7782533169	06/14/2017 23:23:42.811784760
124	1.1000734568	3.778390646	06/14/2017 23:23:43.811113180
125	1.1000733376	3.7785258293	06/14/2017 23:23:44.810429900
126	1.100070715	3.7786681652	06/14/2017 23:23:45.809736840
127	1.1000689268	3.7788028717	06/14/2017 23:23:46.809004320
128	1.1000685692	3.7789342403	06/14/2017 23:23:47.808305700
129	1.1000727415	3.7790830135	06/14/2017 23:23:48.807595060
130	1.100066185	3.7792096138	06/14/2017 23:23:49.806919520
131	1.1000685692	3.7793381214	06/14/2017 23:23:50.806228280
132	1.1000695229	3.7794733047	06/14/2017 23:23:51.805539220
133	1.1000648737	3.7796053886	06/14/2017 23:23:52.804867740
134	1.1000648737	3.779738903	06/14/2017 23:23:53.804234660
135	1.100071907	3.7798740864	06/14/2017 23:23:54.803542060
136	1.1000733376	3.7800021172	06/14/2017 23:23:55.802814740
137	1.1000710726	3.7801258564	06/14/2017 23:23:56.802127460
138	1.1000664234	3.7802643776	06/14/2017 23:23:57.801428140
139	1.1000638008	3.7803874016	06/14/2017 23:23:58.800725520
140	1.1000583172	3.780510664	06/14/2017 23:23:59.800023520
141	1.1000627279	3.780633688	06/14/2017 23:24:00.799340700
142	1.1000648737	3.7807638645	06/14/2017 23:24:01.798697340
143	1.1000665426	3.7808933258	06/14/2017 23:24:02.798006680
144	1.1000670195	3.7810184956	06/14/2017 23:24:03.797558940
145	1.1000701189	3.781150341	06/14/2017 23:24:04.796873420
146	1.1000643969	3.7812597752	06/14/2017 23:24:05.796235420
147	1.1000673771	3.7813990116	06/14/2017 23:24:06.795565140
148	1.1000659466	3.7815122604	06/14/2017 23:24:07.794947400
149	1.1000657082	3.7816441059	06/14/2017 23:24:08.794282080
150	1.1000659466	3.7817606926	06/14/2017 23:24:09.793603360
151	1.100069046	3.7818784714	06/14/2017 23:24:10.792953260
152	1.100061655	3.7819993496	06/14/2017 23:24:11.792284000
153	1.1000632048	3.7821240425	06/14/2017 23:24:12.791640860
154	1.1000696421	3.7822489738	06/14/2017 23:24:13.790978800
155	1.1000691652	3.7823667526	06/14/2017 23:24:14.790303080
156	1.1000688076	3.7824888229	06/14/2017 23:24:15.789652200
157	1.1000657082	3.7826037407	06/14/2017 23:24:16.788983920
158	1.100066185	3.7827165127	06/14/2017 23:24:17.788324660
159	1.100069046	3.7828416824	06/14/2017 23:24:18.787652580
160	1.1000654697	3.7829573154	06/14/2017 23:24:19.786972940
161	1.1000630856	3.7830777168	06/14/2017 23:24:20.786308500
162	1.1000568867	3.7831878662	06/14/2017 23:24:21.785679240
163	1.1000586748	3.7832977772	06/14/2017 23:24:22.785022660
164	1.1000640392	3.783424139	06/14/2017 23:24:23.784335400
165	1.1000628471	3.7835335732	06/14/2017 23:24:24.783648240
166	1.1000669003	3.7836513519	06/14/2017 23:24:25.782981000
167	1.1000618935	3.783772707	06/14/2017 23:24:26.782323620
168	1.10006392	3.7838802338	06/14/2017 23:24:27.781663580
169	1.1000567675	3.7839913368	06/14/2017 23:24:28.781021860
170	1.1000602245	3.7841110229	06/14/2017 23:24:29.780336160
171	1.1000673771	3.7842199802	06/14/2017 23:24:30.779677880
172	1.100060463	3.7843372822	06/14/2017 23:24:31.778978160
173	1.1000641584	3.7844460011	06/14/2017 23:24:32.778330560
174	1.100066185	3.7845582962	06/14/2017 23:24:33.777657620
175	1.10006392	3.7846667767	06/14/2017 23:24:34.776957180
176	1.1000647545	3.7847757339	06/14/2017 23:24:35.776347420
177	1.1000609398	3.784886837	06/14/2017 23:24:36.775651700
178	1.1000642776	3.7849993706	06/14/2017 23:24:37.774964420
179	1.1000659466	3.785107851	06/14/2017 23:24:38.774321940
180	1.1000632048	3.785220623	06/14/2017 23:24:39.773641200
181	1.1000614166	3.7853236198	06/14/2017 23:24:40.773010260
182	1.1000641584	3.7854368687	06/14/2017 23:24:41.772339820
183	1.1000732183	3.7855522633	06/14/2017 23:24:42.771648200
184	1.1000564098	3.7856490612	06/14/2017 23:24:43.770990220
185	1.1000696421	3.7857651711	06/14/2017 23:24:44.770339620
186	1.1000665426	3.7858660221	06/14/2017 23:24:45.769661860
187	1.1000658274	3.785977602	06/14/2017 23:24:46.769012400
188	1.1000609398	3.7860784531	06/14/2017 23:24:47.768341100
189	1.1000678539	3.7861866951	06/14/2017 23:24:48.767655380
190	1.1000649929	3.786288023	06/14/2017 23:24:49.767017660
191	1.1000636816	3.786397934	06/14/2017 23:24:50.766380040
192	1.1000711918	3.7865056992	06/14/2017 23:24:51.765735740
193	1.1000682116	3.7866137028	06/14/2017 23:24:52.765069120
194	1.1000689268	3.7867109776	06/14/2017 23:24:53.764390680
195	1.1000694036	3.786816597	06/14/2017 23:24:54.763738840
196	1.1000699997	3.7869246006	06/14/2017 23:24:55.763072400
197	1.1000676155	3.78703022	06/14/2017 23:24:56.762365600
198	1.1000595093	3.787125349	06/14/2017 23:24:57.761689040
199	1.1000653505	3.7872347832	06/14/2017 23:24:58.761020940
200	1.100066781	3.7873344421	06/14/2017 23:24:59.760307280
201	1.1000677347	3.7874400616	06/14/2017 23:25:00.759628880
202	1.1000628471	3.7875435352	06/14/2017 23:25:01.758960100
203	1.1000642776	3.7876443863	06/14/2017 23:25:02.758258640
204	1.100061655	3.7877428532	06/14/2017 23:25:03.757592880
205	1.1000703573	3.7878479958	06/14/2017 23:25:04.756933820
206	1.1000682116	3.7879545689	06/14/2017 23:25:05.756224240
207	1.1000723839	3.7880582809	06/14/2017 23:25:06.755556940
208	1.1000701189	3.78815341	06/14/2017 23:25:07.754882620
209	1.1000670195	3.7882490158	06/14/2017 23:25:08.754201480
210	1.1000580788	3.7883448601	06/14/2017 23:25:09.753794900
211	1.1000617743	3.7884488106	06/14/2017 23:25:10.753106420
212	1.1000593901	3.7885508537	06/14/2017 23:25:11.752409280
213	1.1000568867	3.7886471748	06/14/2017 23:25:12.751742220
214	1.1000665426	3.7887527943	06/14/2017 23:25:13.751060820
215	1.1000638008	3.7888524532	06/14/2017 23:25:14.750383900
216	1.1000702381	3.7889521122	06/14/2017 23:25:15.749746280
217	1.1000715494	3.789047718	06/14/2017 23:25:16.749080040
218	1.1000699997	3.7891540527	06/14/2017 23:25:17.748410560
219	1.1000721455	3.7892458439	06/14/2017 23:25:18.747814900
220	1.1000665426	3.7893493176	06/14/2017 23:25:19.747143820
221	1.1000654697	3.7894468307	06/14/2017 23:25:20.746472820
222	1.1000669003	3.7895441055	06/14/2017 23:25:21.745809900
223	1.1000686884	3.7896444798	06/14/2017 23:25:22.745133320
224	1.1000627279	3.7897417545	06/14/2017 23:25:23.744480160
225	1.1000697613	3.7898364067	06/14/2017 23:25:24.743808780
226	1.1000651121	3.7899274826	06/14/2017 23:25:25.743112380
227	1.1000621319	3.7900328636	06/14/2017 23:25:26.742417960
228	1.1000682116	3.7901310921	06/14/2017 23:25:27.741783680
229	1.10006392	3.7902240753	06/14/2017 23:25:28.741101220
230	1.1000608206	3.7903161049	06/14/2017 23:25:29.740408440
231	1.1000648737	3.7904138565	06/14/2017 23:25:30.739735780
232	1.1000649929	3.7905113697	06/14/2017 23:25:31.739031720
