Iteration:	Current:	Voltage:	Time:
Iteration: 	92	 current: 	0.20630277693	 voltage: 	4.2000017166
Iteration: 	93	 current: 	0.20567539334	 voltage: 	4.2000045776
Iteration: 	94	 current: 	0.20519590378	 voltage: 	4.2000041008
Iteration: 	95	 current: 	0.20458355546	 voltage: 	4.1999993324
Iteration: 	96	 current: 	0.20413091779	 voltage: 	4.2000050545
Iteration: 	97	 current: 	0.20351403952	 voltage: 	4.2000021935
Iteration: 	98	 current: 	0.20304195583	 voltage: 	4.2000117302
Iteration: 	99	 current: 	0.20245632529	 voltage: 	4.2000055313
Iteration: 	100	 current: 	0.2019712925	 voltage: 	4.2000060081
Iteration: 	101	 current: 	0.20133705437	 voltage: 	4.1999983788
Iteration: 	102	 current: 	0.20080053806	 voltage: 	4.2000002861
Iteration: 	103	 current: 	0.20028033853	 voltage: 	4.2000017166
Iteration: 	104	 current: 	0.19981993735	 voltage: 	4.1999959946
Iteration: 	105	 current: 	0.19939777255	 voltage: 	4.1999998093
Iteration: 	106	 current: 	0.19882433116	 voltage: 	4.1999998093
Iteration: 	107	 current: 	0.19833089411	 voltage: 	4.1999974251
Iteration: 	108	 current: 	0.19789925218	 voltage: 	4.1999983788
Iteration: 	109	 current: 	0.19736166298	 voltage: 	4.1999983788
Iteration: 	110	 current: 	0.19685891271	 voltage: 	4.2000007629
Iteration: 	111	 current: 	0.19642700255	 voltage: 	4.1999983788
Iteration: 	112	 current: 	0.19594210386	 voltage: 	4.2000045776
Iteration: 	113	 current: 	0.19541664422	 voltage: 	4.2000026703
Iteration: 	114	 current: 	0.19493684173	 voltage: 	4.2000007629
Iteration: 	115	 current: 	0.19452343881	 voltage: 	4.1999988556
Iteration: 	116	 current: 	0.19409327209	 voltage: 	4.1999993324
Iteration: 	117	 current: 	0.19358918071	 voltage: 	4.1999988556
Iteration: 	118	 current: 	0.193110466	 voltage: 	4.2000050545
Iteration: 	119	 current: 	0.19271607697	 voltage: 	4.200006485
Iteration: 	120	 current: 	0.19213165343	 voltage: 	4.2000031471
Iteration: 	121	 current: 	0.19178108871	 voltage: 	4.2000041008
Iteration: 	122	 current: 	0.19135950506	 voltage: 	4.2000069618
Iteration: 	123	 current: 	0.19089482725	 voltage: 	4.2000021935
Iteration: 	124	 current: 	0.19047237933	 voltage: 	4.2000007629
Iteration: 	125	 current: 	0.19002704322	 voltage: 	4.200006485
Iteration: 	126	 current: 	0.18958434463	 voltage: 	4.2000021935
Iteration: 	127	 current: 	0.18910475075	 voltage: 	4.2000012398
Iteration: 	128	 current: 	0.18879191577	 voltage: 	4.2000041008
Iteration: 	129	 current: 	0.18836055696	 voltage: 	4.2000098228
Iteration: 	130	 current: 	0.18799355626	 voltage: 	4.2000074387
Iteration: 	131	 current: 	0.18748401105	 voltage: 	4.2000017166
Iteration: 	132	 current: 	0.18712888658	 voltage: 	4.2000021935
Iteration: 	133	 current: 	0.18667438626	 voltage: 	4.2000088692
Iteration: 	134	 current: 	0.18625885248	 voltage: 	4.2000074387
Iteration: 	135	 current: 	0.18588475883	 voltage: 	4.200012207
Iteration: 	136	 current: 	0.18543213606	 voltage: 	4.2000117302
Iteration: 	137	 current: 	0.18501794338	 voltage: 	4.2000107765
Iteration: 	138	 current: 	0.18471162021	 voltage: 	4.2000131607
Iteration: 	139	 current: 	0.18423323333	 voltage: 	4.2000169754
Iteration: 	140	 current: 	0.18386748433	 voltage: 	4.2000107765
Iteration: 	141	 current: 	0.18350440264	 voltage: 	4.2000074387
Iteration: 	142	 current: 	0.18309342861	 voltage: 	4.2000088692
Iteration: 	143	 current: 	0.18266150355	 voltage: 	4.2000098228
Iteration: 	144	 current: 	0.18232829869	 voltage: 	4.200009346
Iteration: 	145	 current: 	0.18193396926	 voltage: 	4.2000060081
Iteration: 	146	 current: 	0.18150910735	 voltage: 	4.2000107765
Iteration: 	147	 current: 	0.18115495145	 voltage: 	4.2000079155
Iteration: 	148	 current: 	0.18074850738	 voltage: 	4.2000060081
Iteration: 	149	 current: 	0.18044152856	 voltage: 	4.2000069618
Iteration: 	150	 current: 	0.18001161516	 voltage: 	4.2000088692
Iteration: 	151	 current: 	0.17964661121	 voltage: 	4.2000102997
Iteration: 	152	 current: 	0.17920778692	 voltage: 	4.2000102997
Iteration: 	153	 current: 	0.17881825566	 voltage: 	4.2000083923
Iteration: 	154	 current: 	0.17850729823	 voltage: 	4.2000117302
Iteration: 	155	 current: 	0.1781167835	 voltage: 	4.2000098228
Iteration: 	156	 current: 	0.17782992125	 voltage: 	4.2000088692
Iteration: 	157	 current: 	0.17733938992	 voltage: 	4.200009346
Iteration: 	158	 current: 	0.17704999447	 voltage: 	4.2000060081
Iteration: 	159	 current: 	0.17669396102	 voltage: 	4.2000088692
Iteration: 	160	 current: 	0.17635171115	 voltage: 	4.2000098228
Iteration: 	161	 current: 	0.17599053681	 voltage: 	4.2000131607
Iteration: 	162	 current: 	0.17558325827	 voltage: 	4.2000136375
Iteration: 	163	 current: 	0.17527613044	 voltage: 	4.2000060081
Iteration: 	164	 current: 	0.17487369478	 voltage: 	4.200006485
Iteration: 	165	 current: 	0.17453473806	 voltage: 	4.2000126839
Iteration: 	166	 current: 	0.17423279583	 voltage: 	4.200003624
Iteration: 	167	 current: 	0.17386949062	 voltage: 	4.200012207
Iteration: 	168	 current: 	0.17354747653	 voltage: 	4.2000074387
Iteration: 	169	 current: 	0.17316956818	 voltage: 	4.2000117302
Iteration: 	170	 current: 	0.1729195267	 voltage: 	4.200006485
Iteration: 	171	 current: 	0.17261572182	 voltage: 	4.2000131607
Iteration: 	172	 current: 	0.1722009033	 voltage: 	4.2000083923
Iteration: 	173	 current: 	0.17190481722	 voltage: 	4.2000060081
Iteration: 	174	 current: 	0.17150336504	 voltage: 	4.2000045776
Iteration: 	175	 current: 	0.17117604613	 voltage: 	4.2000060081
Iteration: 	176	 current: 	0.17077098787	 voltage: 	4.2000069618
Iteration: 	177	 current: 	0.17058201134	 voltage: 	4.2000126839
Iteration: 	178	 current: 	0.17016303539	 voltage: 	4.200006485
Iteration: 	179	 current: 	0.16987621784	 voltage: 	4.2000136375
Iteration: 	180	 current: 	0.16949343681	 voltage: 	4.200012207
Iteration: 	181	 current: 	0.16925863922	 voltage: 	4.2000069618
Iteration: 	182	 current: 	0.16884478927	 voltage: 	4.2000098228
Iteration: 	183	 current: 	0.16861534119	 voltage: 	4.2000107765
Iteration: 	184	 current: 	0.16825142503	 voltage: 	4.2000098228
Iteration: 	185	 current: 	0.16803595424	 voltage: 	4.2000145912
Iteration: 	186	 current: 	0.16762578487	 voltage: 	4.2000055313
Iteration: 	187	 current: 	0.16732397676	 voltage: 	4.2000141144
Iteration: 	188	 current: 	0.16701382399	 voltage: 	4.2000045776
Iteration: 	189	 current: 	0.16669289768	 voltage: 	4.2000074387
Iteration: 	190	 current: 	0.16638089716	 voltage: 	4.2000098228
Iteration: 	191	 current: 	0.16597858071	 voltage: 	4.2000026703
Iteration: 	192	 current: 	0.16574406624	 voltage: 	4.200012207
Iteration: 	193	 current: 	0.16544866562	 voltage: 	4.2000050545
Iteration: 	194	 current: 	0.16513887048	 voltage: 	4.2000131607
Iteration: 	195	 current: 	0.16492785513	 voltage: 	4.2000145912
Iteration: 	196	 current: 	0.16450048983	 voltage: 	4.2000098228
Iteration: 	197	 current: 	0.16430372	 voltage: 	4.2000088692
Iteration: 	198	 current: 	0.1639444381	 voltage: 	4.2000145912
Iteration: 	199	 current: 	0.16366271675	 voltage: 	4.2000117302
Iteration: 	200	 current: 	0.1633694917	 voltage: 	4.2000126839
Iteration: 	201	 current: 	0.16305704415	 voltage: 	4.2000012398
Iteration: 	202	 current: 	0.16268587112	 voltage: 	4.2000102997
Iteration: 	203	 current: 	0.16237770021	 voltage: 	4.2000088692
Iteration: 	204	 current: 	0.16212396324	 voltage: 	4.2000126839
Iteration: 	205	 current: 	0.16179090738	 voltage: 	4.2000074387
Iteration: 	206	 current: 	0.16161772609	 voltage: 	4.2000069618
Iteration: 	207	 current: 	0.16128927469	 voltage: 	4.2000098228
Iteration: 	208	 current: 	0.16096797585	 voltage: 	4.2000074387
Iteration: 	209	 current: 	0.16076546907	 voltage: 	4.2000112534
Iteration: 	210	 current: 	0.16034995019	 voltage: 	4.2000069618
Iteration: 	211	 current: 	0.16015021503	 voltage: 	4.2000098228
Iteration: 	212	 current: 	0.15980350971	 voltage: 	4.2000102997
Iteration: 	213	 current: 	0.15953597426	 voltage: 	4.200006485
Iteration: 	214	 current: 	0.15921072662	 voltage: 	4.2000126839
Iteration: 	215	 current: 	0.15894383192	 voltage: 	4.2000045776
Iteration: 	216	 current: 	0.1586972177	 voltage: 	4.2000055313
Iteration: 	217	 current: 	0.15835258365	 voltage: 	4.2000026703
Iteration: 	218	 current: 	0.15805639327	 voltage: 	4.2000117302
Iteration: 	219	 current: 	0.1578476876	 voltage: 	4.2000060081
Iteration: 	220	 current: 	0.15756393969	 voltage: 	4.2000041008
Iteration: 	221	 current: 	0.15731741488	 voltage: 	4.2000131607
Iteration: 	222	 current: 	0.15699985623	 voltage: 	4.2000131607
Iteration: 	223	 current: 	0.15682135522	 voltage: 	4.2000060081
Iteration: 	224	 current: 	0.15649481118	 voltage: 	4.2000117302
Iteration: 	225	 current: 	0.15624134243	 voltage: 	4.2000136375
Iteration: 	226	 current: 	0.15599662066	 voltage: 	4.2000145912
Iteration: 	227	 current: 	0.15571138263	 voltage: 	4.2000083923
Iteration: 	228	 current: 	0.1553722173	 voltage: 	4.200009346
Iteration: 	229	 current: 	0.15505085886	 voltage: 	4.2000117302
Iteration: 	230	 current: 	0.15484343469	 voltage: 	4.200009346
Iteration: 	231	 current: 	0.15463158488	 voltage: 	4.2000126839
Iteration: 	232	 current: 	0.15434135497	 voltage: 	4.2000007629
Iteration: 	233	 current: 	0.15403993428	 voltage: 	4.2000150681
Iteration: 	234	 current: 	0.15386155248	 voltage: 	4.2000079155
Iteration: 	235	 current: 	0.15363793075	 voltage: 	4.2000193596
Iteration: 	236	 current: 	0.153226614	 voltage: 	4.2000136375
Iteration: 	237	 current: 	0.15303659439	 voltage: 	4.200009346
Iteration: 	238	 current: 	0.15272085369	 voltage: 	4.2000141144
Iteration: 	239	 current: 	0.15243892372	 voltage: 	4.2000117302
Iteration: 	240	 current: 	0.15229798853	 voltage: 	4.2000150681
Iteration: 	241	 current: 	0.15192314982	 voltage: 	4.200012207
Iteration: 	242	 current: 	0.15178692341	 voltage: 	4.2000150681
Iteration: 	243	 current: 	0.15141022205	 voltage: 	4.2000193596
Iteration: 	244	 current: 	0.15114194155	 voltage: 	4.2000150681
Iteration: 	245	 current: 	0.15092495084	 voltage: 	4.2000112534
Iteration: 	246	 current: 	0.15067143738	 voltage: 	4.2000102997
Iteration: 	247	 current: 	0.15036082268	 voltage: 	4.2000102997
Iteration: 	248	 current: 	0.15016746521	 voltage: 	4.200006485
Iteration: 	249	 current: 	0.14985446632	 voltage: 	4.2000131607
Iteration: 	250	 current: 	0.14965395629	 voltage: 	4.2000112534
Iteration: 	251	 current: 	0.14949558675	 voltage: 	4.2000174522
Iteration: 	252	 current: 	0.14912724495	 voltage: 	4.2000117302
Iteration: 	253	 current: 	0.14886423945	 voltage: 	4.2000141144
Iteration: 	254	 current: 	0.14863607287	 voltage: 	4.2000102997
Iteration: 	255	 current: 	0.14844831824	 voltage: 	4.2000160217
