Iteration:	Current:	Voltage:	Time:
85	1.1000641584	3.7632648945	06/15/2017 02:11:35.104482760
86	1.100070715	3.7634510994	06/15/2017 02:11:36.103830260
87	1.100069046	3.7636282444	06/15/2017 02:11:37.103223460
88	1.1000672579	3.7638204098	06/15/2017 02:11:38.102554120
89	1.1000694036	3.7640092373	06/15/2017 02:11:39.101885900
90	1.1000686884	3.7641854286	06/15/2017 02:11:40.101239680
91	1.1000708342	3.7643649578	06/15/2017 02:11:41.100534860
92	1.1000728607	3.7645435333	06/15/2017 02:11:42.099893020
93	1.1000782251	3.7647204399	06/15/2017 02:11:43.099242200
94	1.1000698805	3.7648921013	06/15/2017 02:11:44.098595920
95	1.1000753641	3.7650647163	06/15/2017 02:11:45.097975040
96	1.1000691652	3.7652430534	06/15/2017 02:11:46.097321500
97	1.1000753641	3.7654073238	06/15/2017 02:11:47.096650660
98	1.1000699997	3.7655775547	06/15/2017 02:11:48.095992760
99	1.1000685692	3.7657504082	06/15/2017 02:11:49.095333760
100	1.1000703573	3.7659158707	06/15/2017 02:11:50.094761020
101	1.1000701189	3.76607728	06/15/2017 02:11:51.094065900
102	1.1000742912	3.7662470341	06/15/2017 02:11:52.093390740
103	1.1000716686	3.7664089203	06/15/2017 02:11:53.092709580
104	1.1000742912	3.7665710449	06/15/2017 02:11:54.092056960
105	1.1000676155	3.7667264938	06/15/2017 02:11:55.091349220
106	1.1000721455	3.7668926716	06/15/2017 02:11:56.090663500
107	1.1000688076	3.7670454979	06/15/2017 02:11:57.089991880
108	1.1000714302	3.7672014236	06/15/2017 02:11:58.089310900
109	1.1000699997	3.7673535347	06/15/2017 02:11:59.088657500
110	1.100075841	3.7675173283	06/15/2017 02:12:00.087999640
111	1.1000709534	3.7676765919	06/15/2017 02:12:01.087333560
112	1.1000696421	3.7678248882	06/15/2017 02:12:02.086659480
113	1.1000782251	3.7679841518	06/15/2017 02:12:03.086003780
114	1.1000746489	3.7681324482	06/15/2017 02:12:04.085371460
115	1.1000722647	3.7682797909	06/15/2017 02:12:05.084701380
116	1.1000814438	3.7684340477	06/15/2017 02:12:06.084018000
117	1.1000649929	3.7685813904	06/15/2017 02:12:07.083448980
118	1.1000701189	3.768723011	06/15/2017 02:12:08.082777000
119	1.1000710726	3.7688720226	06/15/2017 02:12:09.082147500
120	1.1000717878	3.7690296173	06/15/2017 02:12:10.081460040
121	1.1000733376	3.7691714764	06/15/2017 02:12:11.080825020
122	1.1000725031	3.7693114281	06/15/2017 02:12:12.080127960
123	1.1000721455	3.7694578171	06/15/2017 02:12:13.079504700
124	1.1000753641	3.7696006298	06/15/2017 02:12:14.078831700
125	1.1000709534	3.7697463036	06/15/2017 02:12:15.078173080
126	1.1000699997	3.7698867321	06/15/2017 02:12:16.077509860
127	1.1000761986	3.7700269222	06/15/2017 02:12:17.076848760
128	1.1000710726	3.7701675892	06/15/2017 02:12:18.076198360
129	1.1000689268	3.7703034878	06/15/2017 02:12:19.075580080
130	1.1000686884	3.7704439163	06/15/2017 02:12:20.074993660
131	1.1000648737	3.7705836296	06/15/2017 02:12:21.074322000
132	1.1000645161	3.7707161903	06/15/2017 02:12:22.073652720
