Iteration:	Current:	Voltage:	Time:
83	-0.26051270962	3.951716423	06/15/2017 04:10:25.666080300
84	-1.2051593065	3.9204845428	06/15/2017 04:10:26.666366400
85	-3.7320713997	3.7211887836	06/15/2017 04:10:27.666666960
86	-3.8964188099	3.6890852451	06/15/2017 04:10:28.666966640
87	-1.81445539	3.8487036228	06/15/2017 04:10:29.667274960
88	-2.2992768288	3.8279466629	06/15/2017 04:10:30.667575200
89	-4.4722576141	3.6563210487	06/15/2017 04:10:31.667892480
90	-1.2793850899	3.8877227306	06/15/2017 04:10:32.668263820
91	-3.6252861023	3.7296261787	06/15/2017 04:10:33.668596440
92	-6.4734268188	3.4895296097	06/15/2017 04:10:34.668905580
93	-2.7495086193	3.754789114	06/15/2017 04:10:35.669181060
94	-6.0985045433	3.5182206631	06/15/2017 04:10:36.669501920
95	-2.5569887161	3.7680449486	06/15/2017 04:10:37.669799620
96	-4.7511358261	3.6217556	06/15/2017 04:10:38.670102580
97	-4.6119842529	3.6156792641	06/15/2017 04:10:39.670383900
98	-4.4999389648	3.6229023933	06/15/2017 04:10:40.670738060
99	-4.7430686951	3.6028339863	06/15/2017 04:10:41.671112340
100	-0.079619780183	3.9635913372	06/15/2017 04:10:42.671425640
101	-4.7040486336	3.6411037445	06/15/2017 04:10:43.671763580
102	-6.2957921028	3.4832746983	06/15/2017 04:10:44.672089580
103	-5.8812303543	3.4988646507	06/15/2017 04:10:45.672396540
104	-2.0826869011	3.793762207	06/15/2017 04:10:46.672695140
105	-3.6507353783	3.7001438141	06/15/2017 04:10:47.672989120
106	-0.32728615403	3.9496247768	06/15/2017 04:10:48.673267600
107	-3.186950922	3.7547540665	06/15/2017 04:10:49.673579140
108	-3.3108105659	3.7263848782	06/15/2017 04:10:50.673874480
109	-2.0416543484	3.8234570026	06/15/2017 04:10:51.674201360
110	-2.4669983387	3.8005340099	06/15/2017 04:10:52.674541100
111	-4.5105485916	3.6394631863	06/15/2017 04:10:53.674824240
112	-2.8905434608	3.7491154671	06/15/2017 04:10:54.675152480
113	-1.5736312866	3.8621304035	06/15/2017 04:10:55.675513420
114	-5.0623755455	3.6019454002	06/15/2017 04:10:56.675850760
115	-5.3526682854	3.5527124405	06/15/2017 04:10:57.676178740
116	-6.4201135635	3.4625041485	06/15/2017 04:10:58.676455560
117	-2.3825347424	3.7650120258	06/15/2017 04:10:59.676745560
118	-3.0352742672	3.7422301769	06/15/2017 04:11:00.677074040
119	-3.8166089058	3.6787085533	06/15/2017 04:11:01.677370240
120	-3.9043684006	3.6658997536	06/15/2017 04:11:02.677667680
121	-5.1936941147	3.5635230541	06/15/2017 04:11:03.677944920
122	-3.9573779106	3.6482200623	06/15/2017 04:11:04.678274980
123	-0.15990586579	3.9507694244	06/15/2017 04:11:05.678565160
124	-5.2507009506	3.5854589939	06/15/2017 04:11:06.678878780
125	-1.3578569889	3.8528518677	06/15/2017 04:11:07.679208120
126	-5.1005420685	3.5890109539	06/15/2017 04:11:08.679562960
127	-2.1317794323	3.7930707932	06/15/2017 04:11:09.679862800
128	-1.01737988	3.8999106884	06/15/2017 04:11:10.680178760
129	-1.536665678	3.8709449768	06/15/2017 04:11:11.680444940
130	-3.6326889992	3.7075293064	06/15/2017 04:11:12.680774140
131	-5.0108246803	3.5852165222	06/15/2017 04:11:13.681065460
132	-1.4996043444	3.8448321819	06/15/2017 04:11:14.681366300
133	-3.1874744892	3.7380535603	06/15/2017 04:11:15.681654040
134	-1.2129275799	3.8808398247	06/15/2017 04:11:16.681928740
135	-4.6019892693	3.6327779293	06/15/2017 04:11:17.682243720
136	-2.7366476059	3.7534456253	06/15/2017 04:11:18.682554940
137	-3.1328039169	3.7337040901	06/15/2017 04:11:19.682857980
138	-5.1412396431	3.5748977661	06/15/2017 04:11:20.683208140
139	-1.0624703169	3.8751876354	06/15/2017 04:11:21.683517560
140	-0.44689577818	3.9512028694	06/15/2017 04:11:22.683847560
141	-6.2975926399	3.5060236454	06/15/2017 04:11:23.684164180
142	-1.9593703747	3.800914526	06/15/2017 04:11:24.684477600
143	-2.7224664688	3.7683646679	06/15/2017 04:11:25.684769120
144	-0.60297471285	3.9288728237	06/15/2017 04:11:26.685060440
145	-2.6323647499	3.7883887291	06/15/2017 04:11:27.685366920
146	-2.4692108631	3.7890396118	06/15/2017 04:11:28.685727160
