Iteration:	Current:	Voltage:
1	0.40986359119	4.200091362
2	0.33441838622	4.1999874115
3	0.32778826356	4.1999883652
4	0.32259598374	4.1999878883
5	0.31796377897	4.1999912262
6	0.31396377087	4.1999931335
7	0.31015849113	4.1999959946
8	0.30678147078	4.1999950409
9	0.30333444476	4.1999893188
10	0.30036428571	4.1999974251
11	0.2974896431	4.1999926567
12	0.29478496313	4.1999959946
13	0.29219344258	4.1999912262
14	0.28967943788	4.1999940872
15	0.28722825646	4.1999936104
16	0.2849778235	4.1999874115
17	0.28279983997	4.199991703
18	0.28072392941	4.1999979019
19	0.27866569161	4.1999926567
20	0.27667936683	4.1999936104
21	0.27482762933	4.1999945641
22	0.27301740646	4.1999964714
23	0.27119153738	4.1999979019
24	0.26954290271	4.1999897957
25	0.26773557067	4.199988842
26	0.26614707708	4.1999926567
27	0.2646175921	4.1999964714
28	0.26299351454	4.1999907494
29	0.26158440113	4.1999945641
30	0.26010510325	4.1999988556
31	0.25861719251	4.199988842
32	0.25732138753	4.1999950409
33	0.25595754385	4.1999969482
34	0.25469318032	4.1999993324
35	0.25330659747	4.1999912262
36	0.25207746029	4.1999988556
37	0.2508238256	4.1999974251
38	0.24956417084	4.1999988556
39	0.24840795994	4.1999983788
40	0.24730497599	4.1999945641
41	0.24610626698	4.1999993324
42	0.2449965328	4.1999988556
43	0.24396471679	4.2000007629
44	0.24280780554	4.2000002861
45	0.24183118343	4.2000021935
46	0.24085642397	4.2000017166
47	0.23983365297	4.200003624
48	0.23865638673	4.2000012398
49	0.2376780808	4.1999959946
50	0.23674438894	4.1999979019
51	0.23586525023	4.1999955177
52	0.23491419852	4.1999950409
53	0.234018296	4.1999983788
54	0.23302714527	4.1999983788
55	0.23217323422	4.1999945641
56	0.23123028874	4.2000041008
57	0.23045895994	4.2000021935
58	0.22953416407	4.1999955177
59	0.22871635854	4.2000055313
60	0.22784735262	4.2000026703
61	0.22699673474	4.199991703
62	0.22624562681	4.1999945641
63	0.22544848919	4.1999998093
64	0.22475832701	4.2000031471
65	0.22394070029	4.1999936104
66	0.22319501638	4.1999950409
67	0.22242704034	4.2000050545
68	0.22170032561	4.2000060081
69	0.22101515532	4.2000098228
70	0.22021079063	4.2000012398
71	0.21953783929	4.2000050545
72	0.21882113814	4.1999950409
73	0.21806336939	4.1999907494
74	0.21738128364	4.2000055313
75	0.21671618521	4.1999983788
76	0.21603094041	4.1999969482
77	0.215462327	4.2000012398
78	0.21485033631	4.2000088692
79	0.21409618855	4.2000002861
80	0.21346235275	4.2000021935
81	0.21278308332	4.1999988556
82	0.21220757067	4.2000017166
83	0.21156494319	4.1999998093
84	0.21099309623	4.2000098228
85	0.21040315926	4.2000021935
86	0.20965515077	4.1999983788
87	0.20913118124	4.1999959946
88	0.20858089626	4.1999940872
89	0.20805087686	4.2000098228
90	0.20734745264	4.200003624
91	0.20680491626	4.200003624
92	0.20630277693	4.2000017166
93	0.20567539334	4.2000045776
94	0.20519590378	4.2000041008
95	0.20458355546	4.1999993324
96	0.20413091779	4.2000050545
97	0.20351403952	4.2000021935
98	0.20304195583	4.2000117302
99	0.20245632529	4.2000055313
100	0.2019712925	4.2000060081
101	0.20133705437	4.1999983788
102	0.20080053806	4.2000002861
103	0.20028033853	4.2000017166
104	0.19981993735	4.1999959946
105	0.19939777255	4.1999998093
106	0.19882433116	4.1999998093
107	0.19833089411	4.1999974251
108	0.19789925218	4.1999983788
109	0.19736166298	4.1999983788
110	0.19685891271	4.2000007629
111	0.19642700255	4.1999983788
112	0.19594210386	4.2000045776
113	0.19541664422	4.2000026703
114	0.19493684173	4.2000007629
115	0.19452343881	4.1999988556
116	0.19409327209	4.1999993324
117	0.19358918071	4.1999988556
118	0.193110466	4.2000050545
119	0.19271607697	4.200006485
120	0.19213165343	4.2000031471
121	0.19178108871	4.2000041008
122	0.19135950506	4.2000069618
123	0.19089482725	4.2000021935
124	0.19047237933	4.2000007629
125	0.19002704322	4.200006485
126	0.18958434463	4.2000021935
127	0.18910475075	4.2000012398
128	0.18879191577	4.2000041008
129	0.18836055696	4.2000098228
130	0.18799355626	4.2000074387
131	0.18748401105	4.2000017166
132	0.18712888658	4.2000021935
133	0.18667438626	4.2000088692
134	0.18625885248	4.2000074387
135	0.18588475883	4.200012207
136	0.18543213606	4.2000117302
137	0.18501794338	4.2000107765
138	0.18471162021	4.2000131607
139	0.18423323333	4.2000169754
140	0.18386748433	4.2000107765
141	0.18350440264	4.2000074387
142	0.18309342861	4.2000088692
143	0.18266150355	4.2000098228
144	0.18232829869	4.200009346
145	0.18193396926	4.2000060081
146	0.18150910735	4.2000107765
147	0.18115495145	4.2000079155
148	0.18074850738	4.2000060081
149	0.18044152856	4.2000069618
150	0.18001161516	4.2000088692
151	0.17964661121	4.2000102997
152	0.17920778692	4.2000102997
153	0.17881825566	4.2000083923
154	0.17850729823	4.2000117302
155	0.1781167835	4.2000098228
156	0.17782992125	4.2000088692
157	0.17733938992	4.200009346
158	0.17704999447	4.2000060081
159	0.17669396102	4.2000088692
160	0.17635171115	4.2000098228
161	0.17599053681	4.2000131607
162	0.17558325827	4.2000136375
163	0.17527613044	4.2000060081
164	0.17487369478	4.200006485
165	0.17453473806	4.2000126839
166	0.17423279583	4.200003624
167	0.17386949062	4.200012207
168	0.17354747653	4.2000074387
169	0.17316956818	4.2000117302
170	0.1729195267	4.200006485
171	0.17261572182	4.2000131607
172	0.1722009033	4.2000083923
173	0.17190481722	4.2000060081
174	0.17150336504	4.2000045776
175	0.17117604613	4.2000060081
176	0.17077098787	4.2000069618
177	0.17058201134	4.2000126839
178	0.17016303539	4.200006485
179	0.16987621784	4.2000136375
180	0.16949343681	4.200012207
181	0.16925863922	4.2000069618
182	0.16884478927	4.2000098228
183	0.16861534119	4.2000107765
184	0.16825142503	4.2000098228
185	0.16803595424	4.2000145912
186	0.16762578487	4.2000055313
187	0.16732397676	4.2000141144
188	0.16701382399	4.2000045776
189	0.16669289768	4.2000074387
190	0.16638089716	4.2000098228
191	0.16597858071	4.2000026703
192	0.16574406624	4.200012207
193	0.16544866562	4.2000050545
194	0.16513887048	4.2000131607
195	0.16492785513	4.2000145912
196	0.16450048983	4.2000098228
197	0.16430372	4.2000088692
198	0.1639444381	4.2000145912
199	0.16366271675	4.2000117302
200	0.1633694917	4.2000126839
201	0.16305704415	4.2000012398
202	0.16268587112	4.2000102997
203	0.16237770021	4.2000088692
204	0.16212396324	4.2000126839
205	0.16179090738	4.2000074387
206	0.16161772609	4.2000069618
207	0.16128927469	4.2000098228
208	0.16096797585	4.2000074387
209	0.16076546907	4.2000112534
210	0.16034995019	4.2000069618
211	0.16015021503	4.2000098228
212	0.15980350971	4.2000102997
213	0.15953597426	4.200006485
214	0.15921072662	4.2000126839
215	0.15894383192	4.2000045776
216	0.1586972177	4.2000055313
217	0.15835258365	4.2000026703
218	0.15805639327	4.2000117302
219	0.1578476876	4.2000060081
220	0.15756393969	4.2000041008
221	0.15731741488	4.2000131607
222	0.15699985623	4.2000131607
223	0.15682135522	4.2000060081
224	0.15649481118	4.2000117302
225	0.15624134243	4.2000136375
226	0.15599662066	4.2000145912
227	0.15571138263	4.2000083923
228	0.1553722173	4.200009346
229	0.15505085886	4.2000117302
230	0.15484343469	4.200009346
231	0.15463158488	4.2000126839
232	0.15434135497	4.2000007629
233	0.15403993428	4.2000150681
234	0.15386155248	4.2000079155
235	0.15363793075	4.2000193596
236	0.153226614	4.2000136375
237	0.15303659439	4.200009346
238	0.15272085369	4.2000141144
239	0.15243892372	4.2000117302
240	0.15229798853	4.2000150681
241	0.15192314982	4.200012207
242	0.15178692341	4.2000150681
243	0.15141022205	4.2000193596
244	0.15114194155	4.2000150681
245	0.15092495084	4.2000112534
246	0.15067143738	4.2000102997
247	0.15036082268	4.2000102997
248	0.15016746521	4.200006485
249	0.14985446632	4.2000131607
250	0.14965395629	4.2000112534
251	0.14949558675	4.2000174522
252	0.14912724495	4.2000117302
253	0.14886423945	4.2000141144
254	0.14863607287	4.2000102997
255	0.14844831824	4.2000160217
256	0.14809775352	4.2000050545
